,HCP_ID,Mean difference from the average map,Hemisphere,Hemi visual area,Visual area,Half
98,257845,20.394972017614602,LH,V1d,V1,dorsal
99,263436,15.178784564196395,LH,V1d,V1,dorsal
100,283543,15.25377175093406,LH,V1d,V1,dorsal
101,318637,13.605840994281037,LH,V1d,V1,dorsal
102,320826,24.072998092783376,LH,V1d,V1,dorsal
103,330324,23.929397138047488,LH,V1d,V1,dorsal
104,346137,19.56277206344145,LH,V1d,V1,dorsal
105,352738,16.723196758564086,LH,V1d,V1,dorsal
106,360030,11.065631528162674,LH,V1d,V1,dorsal
107,365343,20.186598209485595,LH,V1d,V1,dorsal
108,380036,17.930186122696476,LH,V1d,V1,dorsal
109,381038,16.854666544626085,LH,V1d,V1,dorsal
110,385046,22.683199192983587,LH,V1d,V1,dorsal
111,389357,37.110556031146814,LH,V1d,V1,dorsal
112,393247,21.341219454710206,LH,V1d,V1,dorsal
113,395756,28.848109611572102,LH,V1d,V1,dorsal
114,397760,21.775219945973838,LH,V1d,V1,dorsal
115,401422,17.323698811016857,LH,V1d,V1,dorsal
116,406836,18.832847574421105,LH,V1d,V1,dorsal
117,412528,17.849832270304955,LH,V1d,V1,dorsal
118,429040,15.969764839231773,LH,V1d,V1,dorsal
119,436845,58.30122790862958,LH,V1d,V1,dorsal
120,463040,17.458900616155546,LH,V1d,V1,dorsal
121,467351,16.30196678393745,LH,V1d,V1,dorsal
122,525541,18.190452593710607,LH,V1d,V1,dorsal
123,536647,20.820347490802934,LH,V1d,V1,dorsal
124,541943,34.335543465534315,LH,V1d,V1,dorsal
125,547046,16.743494349818423,LH,V1d,V1,dorsal
126,550439,16.321114931987488,LH,V1d,V1,dorsal
127,552241,16.846872641516114,LH,V1d,V1,dorsal
128,562345,29.897319296203168,LH,V1d,V1,dorsal
129,572045,24.84241050944558,LH,V1d,V1,dorsal
130,573249,17.182506350414076,LH,V1d,V1,dorsal
131,581450,19.678760616146427,LH,V1d,V1,dorsal
132,585256,26.498040961952594,LH,V1d,V1,dorsal
133,601127,29.286413936037818,LH,V1d,V1,dorsal
134,617748,19.667288524695778,LH,V1d,V1,dorsal
135,627549,14.860325288451143,LH,V1d,V1,dorsal
136,638049,13.088480214090918,LH,V1d,V1,dorsal
137,644246,16.751321831615073,LH,V1d,V1,dorsal
138,654552,18.51389076672702,LH,V1d,V1,dorsal
139,671855,20.178219816016455,LH,V1d,V1,dorsal
140,680957,24.22753950269336,LH,V1d,V1,dorsal
141,690152,19.233165613856823,LH,V1d,V1,dorsal
142,706040,19.32335175004734,LH,V1d,V1,dorsal
143,724446,17.23993255652494,LH,V1d,V1,dorsal
144,725751,18.5687785776943,LH,V1d,V1,dorsal
145,732243,17.48506859132792,LH,V1d,V1,dorsal
146,751550,19.367324710186086,LH,V1d,V1,dorsal
147,757764,14.482625036813575,LH,V1d,V1,dorsal
148,765864,23.99110609312575,LH,V1d,V1,dorsal
149,770352,19.97031447764019,LH,V1d,V1,dorsal
150,771354,23.012730329623636,LH,V1d,V1,dorsal
151,782561,16.29368080892525,LH,V1d,V1,dorsal
152,783462,22.20263239412571,LH,V1d,V1,dorsal
153,789373,14.249424479065816,LH,V1d,V1,dorsal
154,814649,14.611792485161189,LH,V1d,V1,dorsal
155,818859,18.250247899412418,LH,V1d,V1,dorsal
156,825048,32.942752193942475,LH,V1d,V1,dorsal
157,826353,11.856939248835397,LH,V1d,V1,dorsal
158,833249,13.18130862596096,LH,V1d,V1,dorsal
159,859671,23.69750729693664,LH,V1d,V1,dorsal
160,861456,17.74597758756022,LH,V1d,V1,dorsal
161,871762,24.288524152049543,LH,V1d,V1,dorsal
162,872764,16.2973649241305,LH,V1d,V1,dorsal
163,878776,25.60591426423416,LH,V1d,V1,dorsal
164,878877,23.975430229209678,LH,V1d,V1,dorsal
165,898176,24.25907265858552,LH,V1d,V1,dorsal
166,899885,18.179533036876,LH,V1d,V1,dorsal
167,901139,22.850859503166134,LH,V1d,V1,dorsal
168,901442,22.989506009296452,LH,V1d,V1,dorsal
169,905147,17.307969223114707,LH,V1d,V1,dorsal
170,910241,35.92986027664153,LH,V1d,V1,dorsal
171,926862,18.191515947942552,LH,V1d,V1,dorsal
172,927359,13.123462632792023,LH,V1d,V1,dorsal
173,942658,17.08682478862063,LH,V1d,V1,dorsal
174,943862,21.931278424693133,LH,V1d,V1,dorsal
175,951457,14.937117189413517,LH,V1d,V1,dorsal
176,958976,19.366221295319505,LH,V1d,V1,dorsal
177,966975,24.39348034576926,LH,V1d,V1,dorsal
178,971160,26.511983967410607,LH,V1d,V1,dorsal
179,973770,37.812652419332565,LH,V1d,V1,dorsal
180,995174,28.1041411005708,LH,V1d,V1,dorsal
181,100610,15.065039313238525,RH,V1d,V1,dorsal
182,102311,14.213229189534069,RH,V1d,V1,dorsal
183,102816,12.373140082531053,RH,V1d,V1,dorsal
184,104416,19.852036982503638,RH,V1d,V1,dorsal
185,105923,11.780539280727957,RH,V1d,V1,dorsal
186,108323,8.862667890742774,RH,V1d,V1,dorsal
187,109123,22.662536495174763,RH,V1d,V1,dorsal
188,111312,15.883550534549725,RH,V1d,V1,dorsal
189,111514,22.64789089397091,RH,V1d,V1,dorsal
190,114823,12.201045082419666,RH,V1d,V1,dorsal
191,115017,9.949643757922537,RH,V1d,V1,dorsal
192,115825,19.270055540234083,RH,V1d,V1,dorsal
193,116726,17.62073015356557,RH,V1d,V1,dorsal
194,118225,10.53187870014315,RH,V1d,V1,dorsal
195,125525,20.066771857835178,RH,V1d,V1,dorsal
196,126426,13.839961832891582,RH,V1d,V1,dorsal
197,128935,17.86132989876553,RH,V1d,V1,dorsal
198,130114,12.391689119617364,RH,V1d,V1,dorsal
199,130518,29.395124296776636,RH,V1d,V1,dorsal
200,131217,10.455631397298706,RH,V1d,V1,dorsal
201,131722,19.222031464164385,RH,V1d,V1,dorsal
202,132118,18.647819996612633,RH,V1d,V1,dorsal
203,134627,17.805579121748462,RH,V1d,V1,dorsal
204,134829,13.030038400886584,RH,V1d,V1,dorsal
205,135124,12.055584322504739,RH,V1d,V1,dorsal
206,137128,19.368939426240843,RH,V1d,V1,dorsal
207,140117,18.955768931415054,RH,V1d,V1,dorsal
208,144226,14.717689094842742,RH,V1d,V1,dorsal
209,145834,11.087327394289229,RH,V1d,V1,dorsal
210,146129,12.142651591313797,RH,V1d,V1,dorsal
211,146432,13.02814955882048,RH,V1d,V1,dorsal
212,146735,10.109622535116237,RH,V1d,V1,dorsal
213,146937,17.324615889178386,RH,V1d,V1,dorsal
214,148133,13.527885773094182,RH,V1d,V1,dorsal
